symbol,grade,prev_grade,signal_date,entry_price,weekly_div,daily_div,ifvg_tf,ifvg_zone_top,ifvg_zone_bottom,ifvg_mitigated,ret_1d_pct,ret_3d_pct,ret_5d_pct,ret_10d_pct,ret_20d_pct,mae_pct,mfe_pct
BTC/USDT,B+,,2024-03-21,45522.854929291134,False,True,1d,45483.16312836865,45389.121683512414,False,-0.6333,-2.0427,-3.664,-7.6875,-15.6893,16.0862,-0.5468
BTC/USDT,B+,,2025-05-14,51871.81868236802,False,True,1w,46386.614999236655,45276.68302881442,False,0.3053,1.3983,2.3107,4.0985,6.5702,-0.2631,7.0999
ETH/USDT,Watchlist,,2024-03-21,2686.0306634921567,False,True,,,,,-0.6432,-2.2843,-3.9817,-8.0198,-16.1122,16.539,-0.3831
ETH/USDT,B+,Watchlist,2024-04-01,2925.0777727062246,False,True,1d,2717.7518439049063,2705.001372852857,False,-0.8699,-2.7782,-4.004,-7.7411,-12.7188,15.8757,-0.7164
ETH/USDT,B+,,2024-06-20,3612.0859186215694,False,True,1w,3216.019892779325,3172.7232850265627,False,0.7958,0.8536,1.2718,-0.0589,-2.1698,2.2995,2.2593
BNB/USDT,B+,,2024-08-04,526.3914901744139,False,True,1w,459.5244752562027,448.74883535036935,False,0.0803,1.146,1.9508,4.0422,6.1244,0.3165,6.2787
BNB/USDT,B+,Watchlist,2024-11-18,303.94717257808827,False,True,1d,303.7215174762885,300.8779011009377,False,-0.5888,-1.5717,-2.2097,-4.4142,-8.0163,8.4382,-0.1415
BNB/USDT,B+,,2025-05-07,459.6658111938945,False,True,1w,407.479075929568,398.82100683317896,False,0.0857,0.154,0.7809,2.8049,5.0943,0.2231,5.4774
DOT/USDT,B+,,2025-03-28,4.628102808663601,False,True,1w,4.437718378290487,4.3696859549872125,False,0.2432,1.1846,-0.0375,0.7306,0.024,0.5358,2.0775
MATIC/USDT,B+,,2024-06-20,1.1566200191929015,False,True,1w,1.090321196764656,1.0646191934915807,False,-0.1679,0.3686,-0.4733,-1.5687,-4.4301,4.8085,0.9187
